region,month,year,crf_usd
AMER,2023-01-01,2023,-62221.66
AMER,2023-02-01,2023,1373847.18
AMER,2023-03-01,2023,451394.46
AMER,2023-04-01,2023,103372.86
AMER,2023-05-01,2023,3533243.15
AMER,2023-06-01,2023,-500993.29
AMER,2023-07-01,2023,645268.03
AMER,2023-08-01,2023,2314314.26
AMER,2023-09-01,2023,380700.37
AMER,2023-10-01,2023,2278291.26
AMER,2023-11-01,2023,2781215.83
AMER,2023-12-01,2023,4963503.08
EMEAA,2023-01-01,2023,-82361.85
EMEAA,2023-02-01,2023,332185.32
EMEAA,2023-03-01,2023,117300.07
EMEAA,2023-04-01,2023,162439.79
EMEAA,2023-05-01,2023,162763.58
EMEAA,2023-06-01,2023,152769.16
EMEAA,2023-07-01,2023,341977.86
EMEAA,2023-08-01,2023,107734.96
EMEAA,2023-09-01,2023,118917.67
EMEAA,2023-10-01,2023,353171.99
EMEAA,2023-11-01,2023,110893.97
EMEAA,2023-12-01,2023,330031.53
GC,2023-01-01,2023,83226.5
GC,2023-02-01,2023,79717.94
GC,2023-03-01,2023,45123.96
GC,2023-04-01,2023,64396.67
GC,2023-05-01,2023,86223.26
GC,2023-06-01,2023,69345.94
GC,2023-07-01,2023,240914.08
GC,2023-08-01,2023,244201.0
GC,2023-09-01,2023,5743.81
GC,2023-10-01,2023,109144.38
GC,2023-11-01,2023,538078.84
GC,2023-12-01,2023,-103292.41
AMER,2024-01-01,2024,1646679.39
AMER,2024-02-01,2024,1388151.54
AMER,2024-03-01,2024,837619.2
AMER,2024-04-01,2024,1407358.87
AMER,2024-05-01,2024,486808.64
AMER,2024-06-01,2024,445132.89
AMER,2024-07-01,2024,3036701.11
AMER,2024-08-01,2024,2097101.81
AMER,2024-09-01,2024,1441177.8
AMER,2024-10-01,2024,1824958.32
AMER,2024-11-01,2024,1280935.2
AMER,2024-12-01,2024,1200941.5
EMEAA,2024-01-01,2024,312272.21
EMEAA,2024-02-01,2024,181551.33
EMEAA,2024-03-01,2024,6265.05
EMEAA,2024-04-01,2024,277216.99
EMEAA,2024-05-01,2024,152792.3
EMEAA,2024-06-01,2024,221963.72
EMEAA,2024-07-01,2024,607372.19
EMEAA,2024-08-01,2024,194752.14
EMEAA,2024-09-01,2024,69068.3
EMEAA,2024-10-01,2024,534574.08
EMEAA,2024-11-01,2024,45988.59
EMEAA,2024-12-01,2024,617012.71
GC,2024-01-01,2024,12952.4
GC,2024-02-01,2024,175809.97
GC,2024-03-01,2024,416887.17
GC,2024-04-01,2024,-17799.7
GC,2024-05-01,2024,65837.13
GC,2024-06-01,2024,127808.36
GC,2024-07-01,2024,306975.41
GC,2024-08-01,2024,122297.28
GC,2024-09-01,2024,-134913.24
GC,2024-10-01,2024,75578.14
GC,2024-11-01,2024,281638.19
GC,2024-12-01,2024,115076.13
AMER,2025-01-01,2025,3576017.58
AMER,2025-02-01,2025,1635974.0
AMER,2025-03-01,2025,1110140.53
AMER,2025-04-01,2025,1434657.98
AMER,2025-05-01,2025,1056597.68
AMER,2025-06-01,2025,862740.96
AMER,2025-07-01,2025,3247302.07
AMER,2025-08-01,2025,1714663.06
AMER,2025-09-01,2025,515036.73
AMER,2025-10-01,2025,1239598.79
AMER,2025-11-01,2025,1437307.19
AMER,2025-12-01,2025,3862957.25
EMEAA,2025-01-01,2025,292934.19
EMEAA,2025-02-01,2025,222687.89
EMEAA,2025-03-01,2025,94120.77
EMEAA,2025-04-01,2025,266982.29
EMEAA,2025-05-01,2025,189056.13
EMEAA,2025-06-01,2025,232251.4
EMEAA,2025-07-01,2025,331381.56
EMEAA,2025-08-01,2025,198709.09
EMEAA,2025-09-01,2025,73585.35
EMEAA,2025-10-01,2025,210082.45
EMEAA,2025-11-01,2025,241298.05
EMEAA,2025-12-01,2025,1143566.52
GC,2025-01-01,2025,204570.75
GC,2025-02-01,2025,114610.06
GC,2025-03-01,2025,339100.96
GC,2025-04-01,2025,73070.71
GC,2025-05-01,2025,34340.76
GC,2025-06-01,2025,96081.72
GC,2025-07-01,2025,260538.71
GC,2025-08-01,2025,172882.62
GC,2025-09-01,2025,302625.75
GC,2025-10-01,2025,262237.82
GC,2025-11-01,2025,0.0
GC,2025-12-01,2025,4636.55
AMER,2026-01-01,2026,1373787.72
AMER,2026-02-01,2026,1138581.7
AMER,2026-03-01,2026,799485.08
AMER,2026-04-01,2026,879430.53
AMER,2026-05-01,2026,1017840.51
AMER,2026-06-01,2026,602212.31
EMEAA,2026-01-01,2026,254585.33
EMEAA,2026-02-01,2026,217774.38
EMEAA,2026-03-01,2026,219001.87
EMEAA,2026-04-01,2026,449050.46
EMEAA,2026-05-01,2026,139471.12
EMEAA,2026-06-01,2026,88439.95
GC,2026-01-01,2026,179093.86
GC,2026-02-01,2026,296167.17
GC,2026-03-01,2026,108080.03
GC,2026-04-01,2026,249889.34
GC,2026-05-01,2026,120145.87
GC,2026-06-01,2026,124445.77
